what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1609749894753
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1609749894753
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1609749894756
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1609749894756
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1609749894756
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1609749894758
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1609749894758
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1609749894761
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1609749894761
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1609749894763
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1609749894766
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1609749894768
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1609749894768
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1609749894768
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1609749894771
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1609749894773
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1609749894773
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1609749894773
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1609749894773
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1609749894776
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1609749894778
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1609749894778
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1609749894781
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1609749894783
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1609749894783
os,sysinfo,,,"win32",1609749894791
arch,sysinfo,,,"x86",1609749894791
ws,sysinfo,,,"win32",1609749894791
locale,sysinfo,,,"fr_FR",1609749894791
processors,sysinfo,,,"4",1609749894791
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1609749894791
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1609749894791
java.specification.name,sysinfo,,,"Java Platform API Specification",1609749894791
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1609749894791
java.specification.version,sysinfo,,,"1.6",1609749894791
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1609749894791
java.version,sysinfo,,,"1.6.0_23",1609749894791
java.vm.info,sysinfo,,,"mixed mode",1609749894791
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1609749894793
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1609749894793
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1609749894793
java.vm.specification.version,sysinfo,,,"1.0",1609749894793
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1609749894793
java.vm.version,sysinfo,,,"19.0-b09",1609749894793
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1609749894828
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1609749894848
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1609749894861
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1609749894978
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1609749894998
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1609749895165
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1609749895180
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1609749895258
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1609749895650
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1609749895805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749896760
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749898400
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1609749900207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749930130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749931730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749932088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749936245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749936283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749950044
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1609749950087
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1609749951214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749956617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749958592
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749958942
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749962847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749962860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749976112
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1609749976155
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1609749977742
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1609749987385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749990760
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749992525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609749992880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609750004803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609750004828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609750004890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609750004903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609750024870
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1609750024923
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1609750026953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609750749050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609754220290
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609754279069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756726110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756729847
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756762457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756763134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756764987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756765917
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756767374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756768172
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756769310
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1609756769490
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609756769637
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1609756769975
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1609756770080
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1609756770087
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1609756770087
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1609945254951
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1609945254952
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1609945254954
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1609945254955
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1609945254955
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1609945254956
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1609945254958
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1609945254971
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1609945254972
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1609945254972
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1609945254973
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1609945254975
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1609945254976
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1609945254977
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1609945254978
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1609945254981
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1609945254982
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1609945254982
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1609945254984
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1609945254984
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1609945254985
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1609945254986
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1609945254987
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1609945254988
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1609945254989
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1609945254989
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1609945254990
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1609945254991
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1609945254992
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1609945254993
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1609945254994
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1609945254995
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1609945254995
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1609945254997
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1609945254997
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1609945254998
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1609945254999
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1609945255000
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1609945255001
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1609945255001
